Year,Artist,Song,CompressedRatio
2006,blue october,hate me,56.691
1976,queen,youre my best friend,56.701
1992,george michael and elton john,dont let the sun go down on me,56.705
2003,frankie j,dont wanna try,56.706
1973,stevie wonder,you are the sunshine of my life,56.707
1979,david naughton,makin it,56.707
1993,portrait,here we go again,56.711
1976,queen,bohemian rhapsody,56.72
1992,queen,bohemian rhapsody,56.72
1977,commodores,easy,56.725
1988,brenda k starr,i still believe,56.731
1999,mariah carey,i still believe,56.731
2004,kanye west,jesus walks,56.757
1982,little river band,man on your mind,56.766
1969,johnny cash,a boy named sue,56.773
1991,corina,temptation,56.777
1979,barry manilow,somewhere in the night,56.784
1996,the tony rich project,nobody knows,56.798
1991,celine dion,where does my heart beat now,56.8
2014,jessie j ariana grande and nicki minaj,bang bang,56.806
2015,jessie j ariana grande and nicki minaj,bang bang,56.806
1998,tq,westside,56.814
1986,berlin,take my breath away,56.818
2008,onerepublic,stop and stare,56.818
1999,case featuring joe,faded pictures,56.832
1967,petula clark,this is my song,56.835
1992,vanessa williams,save the best for last,56.838
1993,whitney houston,i will always love you,56.849
1999,everlast,what its like,56.851
2003,lil kim featuring mr cheeks,the jump off,56.857
1972,jimmy castor bunch,troglodyte cave man,56.863
2013,pitbull featuring christina aguilera,feel this moment,56.868
2012,katy perry,wide awake,56.87
1995,jamie walters,hold on,56.872
1969,oliver,jean,56.875
1966,the hollies,bus stop,56.881
1985,jack wagner,all i need,56.881
1993,2pac,i get around,56.888
1969,joe simon,the chokin kind,56.889
1993,billy joel,the river of dreams,56.89
1986,stevie nicks,talk to me,56.897
1987,u2,i still havent found what im looking for,56.915
2015,macklemore and ryan lewis featuring eric nally melle mel kool moe dee and grandmaster caz,downtown,56.919
2002,creed,my sacrifice,56.923
1974,cher,dark lady,56.932
1968,gary lewis and the playboys,sealed with a kiss,56.944
1982,chicago,hard to say im sorry,56.944
2011,thompson square,are you gonna kiss me or not,56.949
1982,asia,heat of the moment,56.951
2001,craig david,fill me in,56.959
1987,breakfast club,right on track,56.962
1974,paul mccartney and wings,band on the run,56.977
1973,war,gypsy man,56.989
1997,meredith brooks,bitch,56.997
1993,dr dre featuring snoop doggy dogg,dre day,57
1982,kim wilde,kids in america,57.003
1978,jackson browne,running on empty,57.006
1970,clarence carter,patches,57.016
2014,iggy azalea featuring charli xcx,fancy,57.025
1977,natalie cole,ive got love on my mind,57.071
1985,animotion,obsession,57.078
1986,lionel richie,love will conquer all,57.082
1977,sanfordtownsend band,smoke from a distant fire,57.091
2010,train,hey soul sister,57.092
1980,rupert holmes,escape the pi~na colada song,57.099
1992,sir mixalot,baby got back,57.123
1993,paperboy,ditty,57.123
1968,tom jones,delilah,57.143
1974,brownsville station,smokin in the boys room,57.143
1977,burton cummings,stand tall,57.143
1980,pure prairie league,let me love you tonight,57.143
2014,sam smith,stay with me,57.143
2015,sam smith,stay with me,57.143
2015,x ambassadors,renegades,57.143
2003,darryl worley,have you forgotten,57.187
2000,toby keith,how do you like me now,57.193
2000,lee ann womack,i hope you dance,57.194
2001,lee ann womack,i hope you dance,57.194
1988,gloria estefan and miami sound machine,anything for you,57.2
1990,alannah myles,black velvet,57.202
1988,gloria estefan and miami sound machine,123,57.207
1965,hermans hermits,mrs brown youve got a lovely daughter,57.214
1974,paul mccartney and wings,jet,57.225
1975,rufus,you got the love,57.229
1969,harry nilsson,everybodys talkin,57.246
1980,neil diamond,september morn,57.277
1980,andy gibb,desire,57.286
1981,billy squier,the stroke,57.295
1976,harold melvin  the blue notes,wake up everybody,57.299
1967,james brown,cold sweat,57.317
1990,dino,romeo,57.322
1988,george michael,kissing a fool,57.329
1971,tommy james,draggin the line,57.333
2002,camron featuring juelz santana,oh boy,57.374
2001,eve 6,heres to the night,57.377
1983,peabo bryson and roberta flack,tonight i celebrate my love,57.386
1965,sonny  cher,i got you babe,57.399
1992,pm dawn,set adrift on memory bliss,57.401
1967,petula clark,dont sleep in the subway,57.416
2010,jayz featuring mr hudson,young forever,57.431
1968,the crazy world of arthur brown,fire,57.432
1986,simply red,holding back the years,57.432
1980,isaac hayes,dont let go,57.436
2009,miley cyrus,the climb,57.439
2005,the game featuring 50 cent,hate it or love it,57.447
1983,michael sembello,maniac,57.455
1990,george michael,praying for time,57.46
1982,kenny rogers,through the years,57.471
2002,truth hurts featuring rakim,addictive,57.488
1970,diana ross,aint no mountain high enough,57.49
1996,alanis morissette,ironic,57.491
1965,peter and gordon,true love ways,57.5
1999,jayz,hard knock life ghetto anthem,57.5
1985,bryan adams,heaven,57.509
1991,aaron neville,everybody plays the fool,57.519
1980,steve forbert,romeos tune,57.544
1973,three dog night,shambala,57.547
1990,rod stewart,downtown train,57.554
2007,plain white ts,hey there delilah,57.554
1976,gary wright,love is alive,57.558
1993,dr dre,nuthin but a g thang,57.563
1974,lamont dozier,trying to hold on to my woman,57.566
1983,men at work,overkill,57.576
2002,eminem,without me,57.588
2011,bad meets evil featuring bruno mars,lighters,57.619
1994,us3,cantaloop flip fantasia,57.62
1992,cece peniston,keep on walkin,57.627
1969,sly  the family stone,everyday people,57.635
1986,lisa lisa and cult jam,all cried out,57.643
2008,rihanna,take a bow,57.647
1973,tony orlando and dawn,say has anybody seen my sweet gypsy rose,57.664
1965,joe tex,hold what youve got,57.679
2015,drake,back to back,57.685
2003,audioslave,like a stone,57.692
1977,the spinners,the rubberband man,57.724
1982,elton john,blue eyes,57.724
2001,r kelly featuring jayz,fiesta,57.74
1986,survivor,burning heart,57.759
1973,stevie wonder,higher ground,57.778
1965,the beau brummels,laugh laugh,57.785
1992,mariah carey,cant let go,57.798
1994,gin blossoms,found out about you,57.812
1996,madonna,youll see,57.812
1990,bad english,price of love,57.818
2003,eminem,sing for the moment,57.826
1974,cat stevens,oh very young,57.838
1985,the time,jungle love,57.843
2011,tinie tempah featuring eric turner,written in the stars,57.849
2013,fun,carry on,57.865
1971,jerry reed,when youre hot youre hot,57.882
1969,mercy,love can make you happy,57.895
1976,bay city rollers,money honey,57.895
1978,bob seger  the silver bullet band,hollywood nights,57.895
1993,onyx,slam,57.895
1999,lauryn hill,doo wop that thing,57.895
2010,timbaland featuring drake,say something,57.905
1996,case featuring foxy brown,touch me tease me,57.909
1969,the lettermen,hurt so bad,57.927
1997,white town,your woman,57.934
1967,brenton wood,gimme little sign,57.937
1995,boyz ii men,water runs dry,57.944
1997,foxy brown featuring jayz,ill be,57.949
1993,sting,fields of gold,57.955
2015,little big town,girl crush,57.959
1976,nazareth,love hurts,57.962
1988,sting,well be together,57.962
1967,sam  dave,soul man,57.979
1969,david ruffin,my whole world ended the moment you left me,57.986
1992,mr big,just take my heart,57.991
1992,ugly kid joe,everything about you,58.009
1970,brook benton,rainy night in georgia,58.039
1970,sly  the family stone,thank you falettinme be mice elf agin,58.052
2002,eminem,cleanin out my closet,58.069
1988,foreigner,i dont want to live without you,58.081
2002,shakira,underneath your clothes,58.088
1991,surface,the first time,58.095
1978,nick gilder,hot child in the city,58.101
1994,queen latifah,unity,58.101
2008,snoop dogg,sexual eruption,58.108
1967,arthur conley,sweet soul music,58.125
1967,the soul survivors,expressway to your heart,58.128
1975,phoebe snow,poetry man,58.128
1989,white lion,when the children cry,58.128
2012,pitbull,back in time,58.14
1984,thompson twins,hold me now,58.148
1985,glenn frey,you belong to the city,58.148
1975,the isley brothers,fight the power,58.15
1968,the doors,hello i love you,58.152
1994,ice cube featuring george clinton,bop gun one nation,58.17
2007,ludacris featuring mary j blige,runaway love,58.172
1983,naked eyes,promises promises,58.182
1976,dr hook,a little bit more,58.19
2010,la roux,bulletproof,58.19
1997,barbra streisand and bryan adams,i finally found someone,58.203
1974,dave loggins,please come to boston,58.204
1974,three dog night,the show must go on,58.209
1991,extreme,hole hearted,58.209
1993,robin s,show me love,58.209
1997,duncan sheik,barely breathing,58.228
1984,the gogos,head over heels,58.233
1999,total featuring missy elliott,trippin,58.246
1975,labelle,lady marmalade,58.252
1978,foreigner,hot blooded,58.252
2004,john michael montgomery,letters from home,58.263
1970,the supremes,up the ladder to the roof,58.264
1986,regina,baby love,58.264
1995,real mccoy,run away,58.278
2001,lil mo featuring fabolous,superwoman pt ii,58.278
2002,avril lavigne,sk8er boi,58.287
1978,evelyn champagne king,shame,58.296
1970,bobby sherman,julie do ya love me,58.3
2003,lumidee,never leave you uh oooh uh oooh,58.301
2004,five for fighting,100 years,58.301
2012,selena gomez  the scene,love you like a love song,58.301
1986,tina turner,typical male,58.304
1979,ambrosia,how much i feel,58.305
1973,vicki lawrence,the night the lights went out in georgia,58.316
2012,jayz and kanye west,niggas in paris,58.319
1965,the righteous brothers,unchained melody,58.333
1966,peter and gordon,woman,58.333
1973,marvin gaye,lets get it on,58.333
1999,tal bachman,shes so high,58.333
1973,curtis mayfield,superfly,58.362
1981,air supply,every woman in the world,58.366
2007,boys like girls,the great escape,58.367
1969,tom jones,love me tonight,58.369
1971,the partridge family,doesnt somebody want to be wanted,58.369
1974,jim stafford,my girl bill,58.378
1984,lionel richie,stuck on you,58.378
2010,taylor swift,mine,58.378
1983,michael jackson and paul mccartney,the girl is mine,58.387
1985,reo speedwagon,cant fight this feeling,58.389
1998,barenaked ladies,one week,58.39
1983,moving pictures,what about me,58.392
1986,boston,amanda,58.397
2002,pink,get the party started,58.4
1984,james ingram and michael mcdonald,yah mo b there,58.407
2011,zac brown band featuring jimmy buffett,knee deep,58.41
1969,blood sweat  tears,youve made me so very happy,58.416
1980,donna summer,on the radio,58.416
1990,skid row,i remember you,58.416
1968,simon  garfunkel,mrs robinson,58.431
2004,jessica simpson,with you,58.431
1999,tyrese,sweet lady,58.436
1996,dishwalla,counting blue cars,58.442
2006,daddy yankee,rompe,58.442
2005,shakira featuring alejandro sanz,la tortura,58.449
1980,linda ronstadt,hurt so bad,58.48
1990,prince,thieves in the temple,58.491
1997,whitney houston,i believe in you and me,58.491
2009,kelly clarkson,my life would suck without you,58.491
1977,electric light orchestra,telephone line,58.498
1986,baltimora,tarzan boy,58.5
2005,backstreet boys,incomplete,58.5
1968,richard harris,macarthur park,58.507
1966,the beach boys,barbara ann,58.511
1998,jermaine dupri featuring da brat and usher,the party continues,58.517
2009,jayz featuring rihanna and kanye west,run this town,58.523
1966,dusty springfield,you dont have to say you love me,58.537
1967,the supremes,love is here and now youre gone,58.537
1970,alive n kickin,tighter tighter,58.537
1974,todd rundgren,hello its me,58.537
2009,owl city,fireflies,58.537
2010,owl city,fireflies,58.537
1976,eagles,take it to the limit,58.547
1971,paul stookey,the wedding song there is love,58.559
1985,billy ocean,loverboy,58.559
1996,mariah carey and boyz ii men,one sweet day,58.559
1968,the beatles,revolution,58.564
1988,phil collins,a groovy kind of love,58.58
1973,jud strunk,daisy a day,58.596
1986,peter cetera,glory of love,58.607
1983,the human league,keep feeling fascination,58.639
1971,the jackson 5,never can say goodbye,58.65
1990,janet jackson,black cat,58.654
2001,train,drops of jupiter tell me,58.656
1974,gladys knight  the pips,best thing that ever happened to me,58.659
1990,jon bon jovi,blaze of glory,58.659
2015,fetty wap featuring monty,my way,58.672
1991,wilson phillips,impulsive,58.685
1997,swv and puff daddy,someone,58.691
1973,maureen mcgovern,the morning after,58.696
2008,taylor swift,love story,58.696
2009,taylor swift,love story,58.696
2004,kenny chesney,i go back,58.708
1995,van halen,cant stop lovin you,58.712
2015,elle king,exs  ohs,58.712
1999,shania twain,from this moment on,58.716
2014,sia,chandelier,58.719
2015,sia,chandelier,58.719
1997,the notorious big,hypnotize,58.722
1972,sailcat,motorcycle mama,58.738
2013,bruno mars,when i was your man,58.739
1974,david essex,rock on,58.741
2005,ja rule featuring r kelly and ashanti,wonderful,58.748
1975,linda ronstadt,when will i be loved,58.763
1979,billy joel,my life,58.779
2001,3lw,no more baby ima do right,58.809
1971,the who,wont get fooled again,58.824
1977,eagles,new kid in town,58.824
1979,elton john,mama cant buy you love,58.824
1990,mariah carey,vision of love,58.824
1989,richard marx,right here waiting,58.854
1990,depeche mode,enjoy the silence,58.865
1986,van halen,why cant this be love,58.883
1974,the righteous brothers,rock and roll heaven,58.898
1981,foreigner,urgent,58.904
2014,katy perry featuring juicy j,dark horse,58.911
1980,boz scaggs,jojo,58.929
1973,the doobie brothers,long train runnin,58.937
1978,heatwave,always and forever,58.952
1999,matchbox 20,back 2 good,58.958
2011,blake shelton,honey bee,58.958
1967,the monkees,im a believer,58.96
1979,robert john,sad eyes,58.96
2010,lil wayne featuring drake,right above it,58.971
1979,donna summer,macarthur park,58.974
1988,natalie cole,pink cadillac,58.974
2004,nina sky,move ya body,58.974
1965,tom jones,whats new pussycat,58.993
1966,crispian st peters,the pied piper,58.993
2002,george strait,living and living well,59.009
1976,orleans,still the one,59.036
2009,brad paisley,then,59.041
2000,madonna,music,59.06
1968,the turtles,elenore,59.064
2009,lady gaga,paparazzi,59.075
2010,lady gaga,paparazzi,59.075
1984,pat benatar,love is a battlefield,59.091
1986,kenny loggins,danger zone,59.091
2012,coldplay,paradise,59.091
1981,pablo cruise,cool love,59.113
1992,genesis,hold on my heart,59.113
2007,carrie underwood,before he cheats,59.124
1970,eddie holman,hey there lonely girl,59.146
1999,naughty by nature featuring zhane,jamboree,59.151
2000,son by four,a puro dolor,59.167
1973,jim croce,bad bad leroy brown,59.177
2003,fabolous featuring tamia,into you,59.187
2000,creed,with arms wide open,59.193
2001,creed,with arms wide open,59.193
1984,the rolling stones,undercover of the night,59.206
1977,atlanta rhythm section,so in to you,59.211
2014,ed sheeran,sing,59.217
1973,hurricane smith,oh babe what would you say,59.218
1970,the kinks,lola,59.223
1984,ray parker jr,ghostbusters,59.223
2004,alicia keys featuring tony toni tone,diary,59.227
1992,eric clapton,tears in heaven,59.236
1982,the gogos,vacation,59.239
1991,will to power,im not in love,59.239
1972,chicago,saturday in the park,59.242
2002,the calling,wherever you will go,59.244
1987,richard marx,dont mean nothing,59.249
1983,culture club,do you really want to hurt me,59.259
1993,bon jovi,bed of roses,59.259
1999,george strait,write this down,59.283
1966,paul revere  the raiders,hungry,59.286
1977,supertramp,give a little bit,59.286
1984,the cars,drive,59.292
1978,natalie cole,our love,59.302
1969,checkmates ltd,black pearl,59.322
1979,roger voudouris,get used to it,59.33
1978,a taste of honey,boogie oogie oogie,59.333
1983,billy joel,tell her about it,59.335
1988,john cougar mellencamp,cherry bomb,59.337
1969,tyrone davis,can i change my mind,59.361
1998,master p featuring fiend silkk the shocker mia x and mystikal,make em say uhh,59.385
1991,color me badd,i wanna sex you up,59.402
1974,anne murray,you wont see me,59.406
1981,gino vannelli,living inside myself,59.406
2002,fat joe featuring r kelly,we thuggin,59.408
1974,wet willie,keep on smilin,59.414
1994,janet jackson,any time any place,59.426
1996,jann arden,insensitive,59.438
1981,the manhattan transfer,the boy from new york city,59.451
2004,maroon 5,she will be loved,59.452
2005,maroon 5,she will be loved,59.452
1983,styx,mr roboto,59.459
1977,fleetwood mac,dreams,59.474
1997,az yet featuring peter cetera,hard to say im sorry,59.474
2003,2pac,thugz mansion,59.474
1965,the yardbirds,heart full of soul,59.477
1973,blue ridge rangers,jambalaya on the bayou,59.48
1998,elton john,candle in the wind 1997,59.48
1968,gene  debbe,playboy,59.487
1997,third eye blind,semicharmed life,59.494
1998,third eye blind,semicharmed life,59.494
2015,ed sheeran,thinking out loud,59.502
1980,charlie daniels band,in america,59.509
1980,eddie rabbitt,drivin my life away,59.512
1982,willie nelson,always on my mind,59.538
1970,blues image,ride captain ride,59.545
1972,wayne newton,daddy dont you walk so fast,59.556
1983,journey,separate ways worlds apart,59.556
1967,the monkees,daydream believer,59.563
1971,lynn anderson,rose garden,59.567
1984,billy squier,rock me tonite,59.569
1966,cher,bang bang my baby shot me down,59.574
1969,the 5th dimension,wedding bell blues,59.574
2014,a great big world and christina aguilera,say something,59.574
1995,the notorious big,big poppa,59.602
1966,los bravos,black is black,59.615
1981,santana,winning,59.615
1993,tony toni tone,if i had no loot,59.615
1987,steve winwood,the finer things,59.623
1980,barbra streisand  donna summer,no more tears enough is enough,59.636
1985,aha,take on me,59.639
1984,ray parker jr,i still cant get over loving you,59.644
1976,peter frampton,show me the way live,59.649
2007,fergie featuring ludacris,glamorous,59.66
2011,jake owen,barefoot blue jean night,59.661
1972,al green,look what you done for me,59.664
2002,eminem,lose yourself,59.666
2003,eminem,lose yourself,59.666
1992,elton john,the one,59.671
2004,gretchen wilson,redneck woman,59.673
2011,nicki minaj featuring drake,moment 4 life,59.675
1971,aretha franklin,spanish harlem,59.677
2000,faith hill,breathe,59.677
2015,fetty wap featuring remy boyz,679,59.684
2008,lupe fiasco featuring matthew santos,superstar,59.685
1970,shocking blue,venus,59.69
1991,winger,miles away,59.696
1965,junior walker  the all stars,shotgun,59.701
1969,the zombies,time of the season,59.701
1971,dave edmunds,i hear you knocking,59.701
1984,billy ocean,caribbean queen,59.716
1988,steve winwood,valerie,59.716
1976,c w mccall,convoy,59.724
1994,2pac,keep ya head up,59.731
2004,alicia keys,you dont know my name,59.732
2015,alessia cara,here,59.743
1995,vanessa williams,colors of the wind,59.744
1978,barry manilow,copacabana,59.748
2013,eminem,berzerk,59.753
1998,deborah cox,nobodys supposed to be here,59.79
1999,deborah cox,nobodys supposed to be here,59.79
2008,gavin rossdale,love remains the same,59.804
1994,culture beat,mr vain,59.827
2002,shakira,whenever wherever,59.827
2013,ace hood featuring future and rick ross,bugatti,59.846
2002,jennifer lopez featuring ja rule,aint it funny,59.848
1991,warrant,i saw red,59.854
1971,jerry reed,amos moses,59.866
1986,peter gabriel,sledgehammer,59.868
1987,janet jackson,lets wait awhile,59.871
1980,dr hook,sexy eyes,59.896
1977,alice cooper,i never cry,59.898
1967,the hollies,on a carousel,59.903
1989,new kids on the block,ill be loving you forever,59.906
1981,neil diamond,love on the rocks,59.908
2005,ciara featuring ludacris,oh,59.916
1992,mint condition,breakin my heart pretty brown eyes,59.929
1976,boz scaggs,lowdown,59.93
1969,smith,baby its you,60
1971,donny osmond,go away little girl,60
1974,the carpenters,top of the world,60
1975,elton john,someone saved my life tonight,60
1986,gloria loring and carl anderson,friends and lovers,60
1988,daryl hall  john oates,everything your heart desires,60
1996,do or die featuring twista,po pimp,60
2008,estelle featuring kanye west,american boy,60
2009,maxwell,pretty wings,60
2012,snoop dogg and wiz khalifa featuring bruno mars,young wild  free,60
1998,mase featuring kelly price,feel so good,60.03
2005,50 cent featuring mobb deep,outta control,60.058
2009,beyonce,if i were a boy,60.067
2013,zedd featuring foxes,clarity,60.073
1977,barry manilow,looks like we made it,60.086
1982,steve miller band,abracadabra,60.088
1973,paul simon,kodachrome,60.092
1988,cher,i found someone,60.092
2000,carl thomas,i wish,60.092
2002,outkast featuring killer mike,the whole world,60.105
1965,the rolling stones,the last time,60.116
1990,"m""otley cr""ue",without you,60.116
1976,thin lizzy,the boys are back in town,60.119
2014,jason derulo featuring 2 chainz,talk dirty,60.119
2007,nelly furtado,say it right,60.123
2004,kelly clarkson,breakaway,60.129
2005,kelly clarkson,breakaway,60.129
1965,the temptations,my girl,60.131
1989,anita baker,giving you the best that i got,60.133
1990,lou gramm,just between you and me,60.133
1974,jim stafford,spiders and snakes,60.145
2014,florida georgia line featuring luke bryan,this is how we roll,60.158
1978,andy gibb,an everlasting love,60.159
2005,mariah carey,we belong together,60.169
1984,chicago,hard habit to break,60.185
1990,madonna,vogue,60.19
1981,sheena easton,modern girl,60.194
1999,brian mcknight,back at one,60.194
2000,brian mcknight,back at one,60.194
1995,2pac,dear mama,60.201
1973,carly simon,youre so vain,60.204
1995,del amitri,roll to me,60.204
1985,howard jones,things can only get better,60.209
1992,patty smyth,sometimes love just aint enough,60.211
1986,lionel richie,dancing on the ceiling,60.215
2011,drake,headlines,60.217
1979,england dan  john ford coley,love is the answer,60.219
1992,en vogue,free your mind,60.223
1995,da brat,give it 2 you,60.23
1967,the grass roots,lets live for today,60.236
1998,sarah mclachlan,adia,60.241
1981,george duke  stanley clarke,sweet baby,60.246
1973,dr hook  the medicine show,the cover of the rolling stone,60.253
1981,barry manilow,i made it through the rain,60.268
1989,skid row,18 and life,60.279
2011,jessie j featuring bob,price tag,60.294
1977,david soul,dont give up on us,60.302
2012,fun featuring janelle mon'ae,we are young,60.308
1968,sweet inspirations,sweet inspiration,60.309
1994,seal,prayer for the dying,60.311
1973,grand funk railroad,were an american band,60.317
1982,crosby stills  nash,wasted on the way,60.317
1990,nelson,cant live without your love and affection,60.323
1977,fleetwood mac,dont stop,60.326
1998,98 degrees,because of you,60.339
1999,98 degrees,because of you,60.339
1999,jewel,hands,60.339
1994,phil collins,everyday,60.351
1984,john waite,missing you,60.357
1989,neneh cherry,buffalo stance,60.359
2009,pink,sober,60.366
2013,mumford  sons,i will wait,60.369
1998,paula cole,i dont want to wait,60.372
1985,paul mccartney,no more lonely nights,60.396
1976,silver,wham bam,60.417
1988,george michael,faith,60.417
2009,linkin park,new divide,60.417
1998,billie myers,kiss the rain,60.44
1983,madness,our house,60.443
2015,meghan trainor,dear future husband,60.459
2002,craig david,7 days,60.47
1985,aretha franklin,freeway of love,60.471
1972,love unlimited,walkin in the rain with the one i love,60.473
1998,2pac featuring eric williams,do for love,60.477
2007,sean kingston,beautiful girls,60.477
2000,erykah badu,bag lady,60.479
2001,fuel,hemorrhage in my hands,60.488
1985,madonna,crazy for you,60.494
2007,nickelback,rockstar,60.494
1979,suzi quatro  chris norman,stumblin in,60.5
1991,vanilla ice,play that funky music,60.511
1967,the hollies,carrie anne,60.526
2012,luke bryan,drunk on you,60.535
1966,the beatles,paperback writer,60.538
1991,bette midler,from a distance,60.538
1976,neil sedaka,breaking up is hard to do,60.541
2013,of monsters and men,little talks,60.55
1990,linda ronstadt and aaron neville,dont know much,60.556
1998,leann rimes,looking through your eyes,60.558
1966,the rolling stones,19th nervous breakdown,60.577
1980,dr hook,better love next time,60.577
2004,evanescence,my immortal,60.581
1995,hootie  the blowfish,only wanna be with you,60.596
1996,hootie  the blowfish,only wanna be with you,60.596
2005,ludacris featuring bobby valentino,pimpin all over the world,60.596
2014,beyonce featuring jay z,drunk in love,60.601
1981,reo speedwagon,keep on loving you,60.606
1995,n ii u,i miss you,60.606
2009,daughtry,no surprise,60.606
2009,lady gaga featuring colby odonis,just dance,60.613
1967,keith,986,60.625
1969,the beatles,something,60.63
1988,debbie gibson,foolish beat,60.63
1983,marvin gaye,sexual healing,60.632
1979,kenny rogers,the gambler,60.636
2008,jonas brothers featuring big rob,burnin up,60.638
2007,the allamerican rejects,it ends tonight,60.643
1985,heart,what about love,60.648
1982,paul mccartney and stevie wonder,ebony and ivory,60.656
1987,crowded house,dont dream its over,60.656
2007,rich boy featuring polow da don,throw some ds,60.662
1986,paul mccartney,spies like us,60.669
1993,en vogue,give it up turn it loose,60.677
1983,david bowie,china girl,60.678
1991,michael bolton,love is a wonderful thing,60.69
1967,tommy james and the shondells,mirage,60.699
1980,supertramp,take the long way home,60.714
2013,awolnation,sail,60.714
1990,kiss,forever,60.729
2009,keri hilson featuring kanye west and neyo,knock you down,60.731
1977,barbra streisand,my heart belongs to me,60.759
2012,fun,some nights,60.759
2013,fun,some nights,60.759
2011,adele,someone like you,60.763
2012,adele,someone like you,60.763
2012,gym class heroes featuring neon hitch,ass back home,60.771
1998,backstreet boys,everybody backstreets back,60.773
1989,tiffany,all this time,60.784
1988,gloria estefan and miami sound machine,cant stay away from you,60.8
1985,night ranger,sentimental street,60.815
1978,andy gibb,love is thicker than water,60.843
2001,moby featuring gwen stefani,south side,60.847
2014,the neighbourhood,sweater weather,60.857
1977,hot,angel in your arms,60.87
1997,celine dion,all by myself,60.87
2005,the pussycat dolls featuring busta rhymes,dont cha,60.87
1995,natalie merchant,carnival,60.887
1999,98 degrees,i do cherish you,60.887
1986,prince and the revolution,kiss,60.923
2009,kelly clarkson,i do not hook up,60.923
1977,rose royce,car wash,60.927
2013,calvin harris featuring florence welch,sweet nothing,60.93
2011,katy perry featuring kanye west,et,60.938
1980,tom petty and the heartbreakers,refugee,60.956
1996,seal,dont cry,60.961
2003,toby keith featuring willie nelson,beer for my horses,60.961
1999,faith evans featuring puff daddy,all night long,60.964
1970,r dean taylor,indiana wants me,60.976
1997,the notorious big featuring puff daddy and mase,mo money mo problems,60.976
1999,case,happily ever after,60.976
1966,tommy roe,hooray for hazel,60.996
2013,rihanna featuring mikky ekko,stay,60.996
1982,the j geils band,centerfold,61.003
1992,guns n roses,november rain,61.003
1988,poison,nothin but a good time,61.011
1968,steppenwolf,born to be wild,61.017
1968,vanilla fudge,you keep me hangin on,61.017
1982,huey lewis and the news,do you believe in love,61.017
2003,christina aguilera,beautiful,61.017
1982,rick springfield,dont talk to strangers,61.022
1998,busta rhymes,turn it up remixfire it up,61.024
1997,coolio featuring 40 thevz,c u when u get there,61.046
2000,matchbox twenty,bent,61.049
1973,barry white,im gonna love you just a little more baby,61.053
2012,alex clare,too close,61.058
1967,the temptations,youre my everything,61.062
2011,chris brown featuring lil wayne and busta rhymes,look at me now,61.064
1990,jive bunny and the mastermixers,swing the mood,61.081
2014,dierks bentley,drunk on a plane,61.082
1990,heart,all i wanna do is make love to you,61.084
1975,barry manilow,mandy,61.086
1965,four tops,its the same old song,61.088
1972,elvis presley,burning love,61.111
1990,michael bolton,how am i supposed to live without you,61.111
2000,jayz featuring ugk,big pimpin,61.119
1987,bruce hornsby and the range,mandolin rain,61.128
1968,the temptations,i wish it would rain,61.131
1989,will to power,baby i love your wayfreebird medley,61.134
1971,paul  linda mccartney,uncle albertadmiral halsey,61.135
1978,pablo cruise,love will find a way,61.135
1987,cutting crew,i just died in your arms,61.146
2015,ed sheeran,photograph,61.146
2013,imagine dragons,demons,61.149
2014,imagine dragons,demons,61.149
1998,divine,lately,61.176
1999,divine,lately,61.176
1980,cliff richard,we dont talk anymore,61.181
1974,steely dan,rikki dont lose that number,61.187
2007,colbie caillat,bubbly,61.194
2008,colbie caillat,bubbly,61.194
1977,abba,knowing me knowing you,61.202
1969,andy kim,baby i love you,61.212
1986,wham,im your man,61.224
1996,george michael,fastlove,61.224
2005,dht featuring edmee,listen to your heart,61.224
2014,drake,0 to 100  the catch up,61.229
2010,onerepublic,secrets,61.231
1971,james taylor,youve got a friend,61.232
1980,boz scaggs,breakdown dead ahead,61.233
2002,city high featuring eve,caramel,61.233
1993,duran duran,come undone,61.24
1979,peaches  herb,reunited,61.247
2015,sam smith,im not the only one,61.25
1988,robert palmer,simply irresistible,61.255
1977,bee gees,love so right,61.265
2008,kevin rudolf featuring lil wayne,let it rock,61.268
2009,kevin rudolf featuring lil wayne,let it rock,61.268
1998,nu flavor,heaven,61.27
1990,tyler collins,girls nite out,61.277
2003,dierks bentley,what was i thinkin,61.283
1990,tesla,love song,61.29
1976,commodores,sweet love,61.299
2015,luke bryan,kick the dust up,61.3
1986,stacey q,two of hearts,61.303
1976,elvin bishop,fooled around and fell in love,61.304
1986,orchestral manoeuvres in the dark,if you leave,61.304
1987,bob seger,shakedown,61.338
2011,jason aldean,dirt road anthem,61.339
1986,patti labelle and michael mcdonald,on my own,61.356
2001,the isley brothers featuring r kelly and chante moore,contagious,61.371
1970,rare earth,i know im losing you,61.372
1965,the turtles,it aint me babe,61.376
1992,house of pain,jump around,61.381
2008,kid rock,all summer long,61.389
1994,aaliyah,at your best you are love,61.397
1978,roberta flack  donny hathaway,the closer i get to you,61.413
2011,rodney atkins,take a back road,61.413
1976,the ojays,i love music,61.417
2002,pink,dont let me get me,61.417
2008,miley cyrus,7 things,61.429
2000,santana featuring the product gb,maria maria,61.436
1985,don henley,the boys of summer,61.438
1966,the marvelettes,dont mess with bill,61.441
1993,tears for fears,break it down again,61.449
2013,2 chainz,im different,61.461
2006,fall out boy,dance dance,61.462
2012,katy perry,the one that got away,61.465
1970,edwin starr,war,61.471
